Nome,Endereco,Cidade,Estado,Avaliacao,Preco,Horario,Ambiente
Clube Chalezinho,Av. Professor Mario Werneck 530 - Estoril, Belo Horizonte,MG,4.2,3,Noturno,Aberto/Fechado
Lab,Av. do Contorno 6342 - Savassi, Belo Horizonte,MG,3.9,3,Noturno,Fechado
Major Lock,Rua dos Guajajaras 842 - Centro, Belo Horizonte,MG,3.8,3,Noturno,Fechado
Night Market,R. Wilson Rocha Lima 137 - Estoril, Belo Horizonte,MG,4.2,3,Matine,Aberto/Fechado
Na areia 360,R. Mario Coutinho 171 - Estoril, Belo Horizonte,MG,4.2,2,Matine,Aberto
Star415,R. Star 415 - Jardim Canada, Nova Lima,MG,4.3,3,Noturno,Aberto
Layback,Rod. Januario Carneiro 20 - Vale do Sereno Nova Lima, Nova Lima,MG,4.4,3,Matine,Aberto/Fechado
Larok,Av. Heraclito Mourao de Miranda 3179 - Conj. Lagoa, Belo Horizonte,MG,3.6,3,Noturno,Fechado
Observatorio,R. Sen. Milton Campos 230 - Vila da Serra, Nova Lima,MG,3.6,3,Noturno,Fechado
Autentica,R. Alvares Maciel 312 - Santa Efigenia, Belo Horizonte,MG,4.3,2,Noturno,Fechado
Jangal,R. Outono 523 - Cruzeiro, Belo Horizonte,MG,4.4,2,Noturno,Fechado
A Fábrica, Avenida Tereza Cristina 295 Prado, Belo Horizonte, MG, 3, 2,	Noturno, Fechado
Granfinos, Avenida Brasil 326 Santa Efigênia, Belo Horizonte, MG, 3, 3, Noturno, Fechado
031 Music, Avenida Elias Antônio Issa 115 Letícia, Belo Horizonte, MG, 3, 3, Noturno, Fechado
Ziriguidum, Avenida Presidente Carlos Luz 470 Caiçaras, Belo Horizonte, MG, 4.5, 1, Noturno, Fechado
DDuck, Rua Pernambuco 1316 Savassi, Belo Horizonte, MG, 3.5, 3, Noturno, Fechado
Mandala Disco Club, Avenida Trinta e Um de Março 840 Coração Eucarístico, Belo Horizonte, MG, 4, 2, Noturno, Fechado
Clube Fantasy, Rua Santa Juliana 259 Salgado Filho, Belo Horizonte, MG, 4.4, 2, Noturno, Aberto/Fechado
Club Factory, Rua Sergipe 1211 Savassi, Belo Horizonte, MG, 3.9, 3, Noturno, Aberto/Fechado
Estação 2000, Rua dos Guajajaras 1353 Centro, Belo Horizonte, MG, 4.7, 3, Noturno, Fechado
Jack Rock Bar, Avenida do Contorno 5623 Funcionários, Belo Horizonte, MG, 4.5, 3, Noturno, Fechado
Lord Pub, Rua Viçosa 263 São Pedro, Belo Horizonte, MG, 4.1, 3, Noturno, Fechado
Amsterdam Pub, Rua Major Lopes 719 São Pedro, Belo Horizonte, MG, 4.9, 2, Noturno, Fechado

